PeakID;Depth;Height;X;Y;Type;Area2d;In2011;NBSFilter;Filter
2807466;-3999;2438;178.979166666666000;40.820833333333300;1;906.799189642549000;1.000000000000000;;0
485609;-3999;1875;-169.762499999999000;37.862500000000000;1;823.067872594877000;1.000000000000000;;1
2948628;-3999;2242;164.504166666666000;37.137500000000000;1;686.897791544384000;1.000000000000000;;1
3405153;-3999;2114;-156.662499999999000;26.445833333333300;1;547.071903983849000;1.000000000000000;;1
3811182;-3999;2250;146.979166666666000;15.504166666666600;1;799.866522829743000;1.000000000000000;;0
3944039;-3999;1720;137.637499999999000;10.820833333333300;1;319.222123256063000;0.000000000000000;;1
3954668;-3999;1820;135.837499999999000;10.429166666666600;1;746.209549788229000;0.000000000000000;;0
5281371;-3999;2532;-164.454166666666000;-45.670833333333300;1;492.058981220327000;1.000000000000000;;0
5424954;-3999;1957;-171.445833333333000;-57.870833333333300;1;442.749287511245000;1.000000000000000;;0
2803431;-4000;2824;178.754166666666000;40.929166666666600;1;953.940241946830000;1.000000000000000;;0
2804925;-4000;2585;178.820833333333000;40.887500000000000;1;971.865583424616000;1.000000000000000;;0
622824;-4000;2309;155.387499999999000;21.829166666666600;1;669.639797318218000;1.000000000000000;;1
3628520;-4000;1959;172.612500000000000;20.679166666666600;1;834.592701237721000;1.000000000000000;;1
3670328;-4000;2012;-41.187500000000000;19.570833333333300;1;703.641844872685000;1.000000000000000;;1
3911966;-4000;2030;137.904166666666000;11.962500000000000;1;544.390852966155000;0.000000000000000;;1
2736266;-4001;2543;-158.137499999999000;42.729166666666600;1;703.954606431958000;1.000000000000000;;1
2876503;-4001;1934;164.454166666666000;39.037500000000000;1;545.147162238994000;1.000000000000000;;1
2975027;-4001;2016;-175.979166666666000;36.437500000000000;1;762.223753582247000;1.000000000000000;;0
515798;-4001;2361;-143.512499999999000;33.604166666666600;1;479.956506062588000;1.000000000000000;;0
3724440;-4001;2627;139.320833333333000;18.129166666666600;1;550.672968675518000;1.000000000000000;;1
3775188;-4001;2326;139.120833333333000;16.679166666666600;1;668.849020694152000;1.000000000000000;;1
890173;-4001;1788;-3.037499999999990;-12.654166666666600;1;834.415880883151000;0.000000000000000;;1
4961711;-4001;2168;-0.029166666666669;-26.604166666666600;1;582.715518436350000;0.000000000000000;;0
5031685;-4001;1961;106.537500000000000;-29.895833333333300;1;511.596401232940000;0.000000000000000;;0
3167958;-4002;1761;178.520833333333000;31.712499999999900;1;965.608189904865000;1.000000000000000;;0
3794772;-4002;2000;130.079166666666000;16.037499999999900;1;520.247068495266000;1.000000000000000;;0
4049674;-4002;2265;127.995833333333000;6.954166666666660;1;797.065909165234000;1.000000000000000;;1
3349855;-4003;2875;130.637499999999000;27.679166666666600;1;581.735702144533000;1.000000000000000;;0
4477360;-4003;1831;177.937500000000000;-7.545833333333330;1;879.123315752534000;0.000000000000000;;1
4514225;-4003;1571;98.095833333333300;-8.870833333333330;1;780.026878415054000;0.000000000000000;;1
4572989;-4003;2061;-166.545833333333000;-11.087500000000000;1;728.869931571881000;1.000000000000000;;1
4593284;-4003;2262;90.312500000000000;-11.929166666666600;1;673.036050395922000;0.000000000000000;;1
1016809;-4003;2215;-173.004166666666000;-35.895833333333300;1;847.093986811261000;1.000000000000000;;1
2562126;-4004;2780;173.754166666666000;47.337499999999900;1;820.454922735217000;1.000000000000000;;1
3364717;-4004;1763;-49.545833333333300;27.337499999999900;1;611.843749873970000;0.000000000000000;;1
4786588;-4004;2399;78.312500000000000;-19.004166666666600;1;972.400968152210000;1.000000000000000;;1
4803179;-4004;1727;7.554166666666670;-19.712499999999900;1;767.989003837404000;1.000000000000000;;1
5429721;-4004;1950;-170.262499999999000;-58.362500000000000;1;316.336270306025000;1.000000000000000;;0
3562080;-4005;2473;125.937500000000000;22.487499999999900;1;834.946271843571000;1.000000000000000;;0
666893;-4005;2064;-171.945833333333000;17.012500000000000;1;784.923818882494000;0.000000000000000;;1
5383461;-4005;1593;159.720833333333000;-54.037499999999900;1;600.979045842079000;0.000000000000000;;0
3128030;-4006;1868;-164.104166666666000;32.695833333333300;1;648.762163995698000;1.000000000000000;;1
3136444;-4006;2231;-141.645833333333000;32.479166666666600;1;359.788525436374000;0.000000000000000;;1
5028484;-4006;2434;-159.887499999999000;-29.737499999999900;1;755.554991027648000;1.000000000000000;;1
5154145;-4006;2361;109.070833333333000;-36.479166666666600;1;865.169857503614000;1.000000000000000;;1
5157984;-4006;2746;112.287500000000000;-36.704166666666600;1;665.709351643846000;1.000000000000000;;1
5275784;-4006;2106;15.254166666666600;-45.229166666666600;1;621.474438014710000;1.000000000000000;;0
5432642;-4006;1608;-171.887499999999000;-58.704166666666600;1;662.260131976174000;0.000000000000000;;0
2931021;-4007;2089;-177.937500000000000;37.579166666666600;1;717.235768364226000;0.000000000000000;;0
2937426;-4007;2091;-171.229166666666000;37.404166666666600;1;775.450886703141000;1.000000000000000;;0
3570918;-4007;2437;148.345833333333000;22.254166666666600;1;637.987274987827000;1.000000000000000;;1
710753;-4007;2735;147.462499999999000;11.129166666666600;1;937.028443778784000;1.000000000000000;;1
4262991;-4008;2662;-166.004166666666000;-0.320833333333326;1;728.869408570903000;1.000000000000000;;0
4280273;-4008;2667;-167.337500000000000;-0.920833333333334;1;458.988889256373000;1.000000000000000;;0
5081051;-4008;2335;-164.637499999999000;-32.412499999999900;1;775.533894727450000;1.000000000000000;;1
5230975;-4008;1840;-158.087500000000000;-41.954166666666600;1;784.348681155698000;1.000000000000000;;1
5319877;-4008;1792;-178.204166666666000;-48.654166666666600;1;532.145148851666000;1.000000000000000;;1
3391989;-4009;2923;163.937500000000000;26.737500000000000;1;658.914535281146000;0.000000000000000;;1
3750925;-4009;2175;166.320833333333000;17.404166666666600;1;604.913068244338000;1.000000000000000;;1
3866187;-4009;2374;179.312500000000000;13.620833333333300;1;758.372864645211000;1.000000000000000;;1
3887150;-4009;2226;-156.120833333333000;12.845833333333300;1;683.046906537161000;1.000000000000000;;0
4143591;-4009;1561;150.229166666666000;3.670833333333330;1;1033.578240098040000;1.000000000000000;;1
4462450;-4009;1935;171.679166666666000;-7.037499999999990;1;422.124638597047000;1.000000000000000;;1
5064609;-4009;2657;-176.295833333333000;-31.579166666666600;1;840.659202983663000;1.000000000000000;;0
